stat_date,pass_rate,raw_pass_rate,avg_change_pct,vs_nikkei_pt,win_count,lose_count
2026-07-06,1.35,,-0.50,-0.49,3,2
2026-07-07,1.35,,-1.78,0.34,1,4
2026-07-08,1.35,,-1.09,1.02,1,4
2026-07-09,1.35,,0.43,-0.95,3,2
2026-07-10,1.35,,-0.66,-1.87,2,3
2026-07-13,1.35,,-0.92,1.00,1,4
2026-07-14,1.35,,2.20,1.45,4,1
2026-07-16,6.77,6.77,2.31,2.31,4,1
2026-07-17,6.58,6.58,0.16,0.16,2,3
2026-07-21,7.82,7.82,0.92,0.92,2,3
2026-07-22,11.14,11.14,-1.74,-1.74,1,4
2026-07-23,9.79,9.79,-0.68,-0.68,1,4
2026-07-24,7.55,7.55,-0.72,-0.72,1,4
